obama family tree	1	r-	/m/0bkh_54	$Obama Family Tree$	/None	
obama family tree	-1	-	/m/0bk6pf	$First Family of the United States$	/book/book_subject	The First Family of the United States is the unofficial title for the family of the President of...
obama family tree	-1	-	/m/0h2bfch	$protovisSaftJudgments.js$	/None	
obama family tree	-1	-	/m/0h15fvw	$protovisSaftJudgments.js$	/None	
obama family tree	-1	-	/m/0h27fv6	$protovisSaftJudgments.js$	/None	
obama family tree	-1	-	/m/0h26j7p	$protovisSaftJudgments.js$	/None	
obama family tree	-1	-	/m/0h15f2m	$protovisSaftJudgments$	/None	
french lick resort and casino	1	-	/m/02761b3	$French Lick Resort Casino$	/location/location	French Lick Resort is a resort complex located in the towns of West Baden and French Lick,...
french lick resort and casino	1	-	/m/0sp5r	$French Lick$	/location/citytown	French Lick is a town in French Lick Township, Orange County, Indiana, United States. The...
french lick resort and casino	1	-	/m/080h_mb	$French Lick Springs Hotel$	/travel/accommodation	The French Lick Springs Hotel is a historic resort hotel complex, now a part of the French Lick...
french lick resort and casino	-1	-	/m/03gkc1	$Tomato juice$	/food/beverage	Tomato juice is a juice made from tomatoes. It is usually used as a beverage, either plain or in...
french lick resort and casino	-1	-	/m/0g006x	$PGA Professional National Championship$	/None	The PGA Professional National Championship is a golf tournament for golf club professionals and...
french lick resort and casino	-1	-	/m/03prpb	$Thomas Taggart$	/government/u_s_congressperson	Thomas Taggart was a U.S. political figure, serving as mayor of Indianapolis and influential in...
french lick resort and casino	-1	-	/m/0sp6s	$West Baden Springs$	/location/citytown	West Baden Springs is a town in French Lick Township, Orange County, Indiana, United States. The...
french lick resort and casino	-1	-	/m/09n5fl1	$MAJESTIC STAR CASINO LLC$	/business/business_operation	The Majestic Star Casino, LLC is a gaming holding company founded in Gary, Indiana by Don H...
french lick resort and casino	-1	-	/m/02qrqnl	$Indiana Landmarks$	/organization/non_profit_organization	Indiana Landmarks is America's largest private statewide historic preservation organization...
french lick resort and casino	-1	-	/m/01gqlx	$PGA Championship$	/sports/sports_championship	The PGA Championship is an annual golf tournament conducted by the Professional Golfers...
french lick resort and casino	-1	-	/m/0sp5x	$$	/None	
french lick resort and casino	-1	-	/m/035kwn	$Scagliola$	/None	Scagliola, is a technique for producing stucco columns, sculptures, and other architectural...
french lick resort and casino	-1	-	/m/01hbgc	$LPGA Championship$	/sports/sports_championship	The LPGA Championship, since 2011 known for sponsorship reasons as the Wegmans LPGA...
french lick resort and casino	-1	-	/m/080wn2	$William Cook$	/organization/organization_founder	William Alfred "Bill" Cook was an American entrepreneur, philanthropist and historic...
french lick resort and casino	-1	-	/m/0gxz4qd	$Ghost on the Canvas$	/music/album	Ghost on the Canvas is the 61st album by Glen Campbell, which was intended to be Campbell's...
french lick resort and casino	-1	-	/m/03d3h27	$Frank O'Bannon Highway$	/None	The Frank O'Bannon Highway is a series of highways in the state of Indiana. The highway follows...
french lick resort and casino	-1	-	/m/035qst	$Indiana State Road 37$	/transportation/road	State Road 37 is a major route in the U.S. state of Indiana, running as a four-lane divided...
french lick resort and casino	-1	-	/m/080h_mg	$$	/None	
french lick resort and casino	-1	-	/m/02qzgck	$West Baden Springs Hotel$	/location/location	The West Baden Springs Hotel is a historic landmark hotel in the town of West Baden Springs in...
french lick resort and casino	-1	-	/m/0bvy5r	$Henry F. Schricker$	/government/politician	Henry Frederick Schricker was the 36th and 38th Governor of the American state of Indiana from...
french lick resort and casino	-1	-	/m/05zzgvy	$William A. Bowles$	/people/deceased_person	William A. Bowles was a physician who held the rank of Major General in the OSL in Indiana in...
french lick resort and casino	-1	-	/m/02761b6	$$	/None	
french lick resort and casino	-1	-	/m/0bny3f	$$	/None	
getting organized	-1	-	/m/06xllyp	$Getting Organized$	/tv/tv_series_episode	JT and Cody become engrossed with the idea of aliens while Dana and Karen make fun of them, but...
getting organized	-1	-	/m/07l_mr_	$Getting Organized$	/tv/tv_series_episode	
getting organized	-1	-	/m/07m666v	$Getting Organized, Beautiful Breads$	/tv/tv_series_episode	
getting organized	-1	-	/m/02ppypb	$Guide to: Getting Organized & Extra Credit$	/tv/tv_series_episode	Getting Organized: Ned's locker is a mess, and his brain is too! With the help of Mr. Sweeney,...
getting organized	-1	-	/m/06dxnsf	$Getting Organized Time and Paperwork$	/book/book	
getting organized	-1	-	/m/06mc8x5	$10 minute guide getting organized$	/book/book	
getting organized	-1	-	/m/06stw5j	$Thirty Days to Getting Organized$	/book/book	
getting organized	-1	-	/m/06f321y	$Getting Organized for Your New Baby$	/book/book	
getting organized	-1	-	/m/06qghr5	$The Complete Guide to Getting Organized at Work$	/book/book	
getting organized	-1	-	/m/0l0yx_0	$$	/None	
getting organized	-1	-	/m/0j5lw7j	$$	/None	
getting organized	-1	-	/m/0km809h	$$	/None	
getting organized	-1	-	/m/0kfdstt	$$	/None	
getting organized	-1	-	/m/04yc9jb	$$	/None	
getting organized	-1	-	/m/0b7bc0n	$$	/None	
getting organized	-1	-	/m/0klp9d8	$$	/None	
getting organized	-1	-	/m/0b7bc0h	$$	/None	
getting organized	-1	-	/m/05q3wgn	$$	/None	
getting organized	-1	-	/m/0fpj0wf	$$	/None	
getting organized	-1	-	/m/02ppypf	$$	/None	
getting organized	-1	-	/m/0c0y77w	$In 1913 Sundback received the patent for his 'Hookless No. 2", and a new company, the Hookless...$	/None	
getting organized	-1	-	/m/0kjzdvn	$$	/None	
getting organized	-1	-	/m/04jj8rx	$$	/None	
getting organized	-1	-	/m/0f78s6	$$	/None	
getting organized	-1	-	/m/05q88vc	$$	/None	
getting organized	-1	-	/m/07wxg5	$$	/None	
getting organized	-1	-	/m/02wynb_	$$	/None	
getting organized	-1	-	/m/0dtw1q	$$	/None	
getting organized	-1	-	/m/02q3p3y	$$	/None	
getting organized	-1	-	/m/0drwrsk	$$	/None	
getting organized	-1	-	/m/05b_qkt	$$	/None	
getting organized	-1	-	/m/03nnpst	$$	/None	
getting organized	-1	-	/m/06zswyh	$$	/None	
getting organized	-1	-	/m/04jfm6n	$$	/None	
getting organized	-1	-	/m/047fjr1	$$	/None	
getting organized	-1	-	/m/047vpwn	$$	/None	
getting organized	-1	-	/m/03ym9wl	$$	/None	
getting organized	-1	-	/m/05s_6nb	$$	/None	
getting organized	-1	-	/m/027363x	$$	/None	
getting organized	-1	-	/m/0j3cppg	$$	/None	
getting organized	-1	-	/m/0k__kl8	$$	/None	
getting organized	-1	-	/m/0l07ss2	$$	/None	
getting organized	-1	-	/m/0h3lhl8	$$	/None	
getting organized	-1	-	/m/0khx8td	$$	/None	
getting organized	-1	-	/m/0fd67j	$$	/None	
getting organized	-1	-	/m/03rn_j	$$	/None	
getting organized	-1	-	/m/046y9f9	$$	/None	
getting organized	-1	-	/m/05p9zhj	$$	/None	
getting organized	-1	-	/m/02q9zjh	$$	/None	
getting organized	-1	-	/m/0kb0__x	$$	/None	
getting organized	-1	-	/m/0krtbm2	$$	/None	
getting organized	-1	-	/m/0krtbvc	$$	/None	
getting organized	-1	-	/m/026v0b8	$$	/None	
getting organized	-1	-	/m/0cdm4g	$$	/None	
getting organized	-1	-	/m/03d4t0_	$$	/None	
getting organized	-1	-	/m/05mvcwk	$$	/None	
getting organized	-1	-	/m/086t5r	$$	/None	
getting organized	-1	-	/m/0gx2nb	$$	/None	
getting organized	-1	-	/m/080j7y6	$$	/None	
getting organized	-1	-	/m/02z0bng	$$	/None	
getting organized	-1	-	/m/03hlllr	$$	/None	
getting organized	-1	-	/m/0crc0wn	$$	/None	
